procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14614944  68104 943676    0    0     0    80   64  484  0  0 100  0  0 2024-05-16 19:34:30
 0  0      0 14614944  68104 943680    0    0     0     0   58  433  0  0 100  0  0 2024-05-16 19:34:31
 0  0      0 14614944  68104 943684    0    0     0     0   59  428  0  0 100  0  0 2024-05-16 19:34:32
 0  0      0 14614944  68104 943688    0    0     0     0   55  441  0  0 100  0  0 2024-05-16 19:34:33
 0  0      0 14612964  68104 943692    0    0     0     0   69  448  0  0 100  0  0 2024-05-16 19:34:34
 0  0      0 14615080  68112 943688    0    0     0    76   67  475  0  0 100  0  0 2024-05-16 19:34:35
 0  0      0 14615080  68112 943700    0    0     0     0   58  442  0  0 100  0  0 2024-05-16 19:34:36
 0  0      0 14615080  68112 943704    0    0     0     0   56  430  0  0 100  0  0 2024-05-16 19:34:37
 0  0      0 14615080  68112 943708    0    0     0     0   62  460  0  0 100  0  0 2024-05-16 19:34:38
 1  0      0 14615080  68112 943712    0    0     0     0   59  434  0  0 100  0  0 2024-05-16 19:34:39
 0  0      0 14615080  68120 943712    0    0     0    28   65  467  0  0 100  0  0 2024-05-16 19:34:40
 0  0      0 14615080  68120 943720    0    0     0    52   62  449  0  0 100  0  0 2024-05-16 19:34:41
 0  0      0 14615080  68120 943732    0    0     0     0   58  437  0  0 100  0  0 2024-05-16 19:34:42
 0  0      0 14615080  68120 943732    0    0     0     0   59  452  0  0 100  0  0 2024-05-16 19:34:43
 0  0      0 14613100  68120 943740    0    0     0     0   64  438  0  0 100  0  0 2024-05-16 19:34:44
 0  0      0 14615200  68120 943744    0    0     0     0   57  448  0  0 100  0  0 2024-05-16 19:34:45
 0  0      0 14615200  68128 943744    0    0     0   108   63  451  0  0 100  0  0 2024-05-16 19:34:46
 0  0      0 14615200  68128 943752    0    0     0     0   55  453  0  0 100  0  0 2024-05-16 19:34:47
 0  0      0 14615200  68128 943756    0    0     0     0   59  465  0  0 100  0  0 2024-05-16 19:34:48
 0  0      0 14615200  68128 943756    0    0     0     0   57  422  0  0 100  0  0 2024-05-16 19:34:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14615200  68128 943764    0    0     0     0   58  447  0  0 100  0  0 2024-05-16 19:34:50
 0  0      0 14615200  68136 943760    0    0     0    80   66  480  0  0 100  0  0 2024-05-16 19:34:51
 0  0      0 14615200  68136 943772    0    0     0     0   59  463  0  0 100  0  0 2024-05-16 19:34:52
 0  0      0 14615200  68136 943776    0    0     0     0   58  434  0  0 100  0  0 2024-05-16 19:34:53
 0  0      0 14617308  68136 943776    0    0     0     0   62  457  0  0 100  0  0 2024-05-16 19:34:54
 0  0      0 14617488  68136 943784    0    0     0     0   76  465  0  0 100  0  0 2024-05-16 19:34:55
 0  0      0 14617236  68144 943788    0    0     0    80   68  481  0  0 100  0  0 2024-05-16 19:34:56
 0  0      0 14617236  68144 943792    0    0     0     0   60  467  0  0 100  0  0 2024-05-16 19:34:57
 0  0      0 14617236  68144 943796    0    0     0     0   60  450  0  0 100  0  0 2024-05-16 19:34:58
 0  0      0 14617236  68144 943796    0    0     0     0   44  410  0  0 100  0  0 2024-05-16 19:34:59
 0  0      0 14617236  68144 943804    0    0     0     0   60  435  0  0 100  0  0 2024-05-16 19:35:00
 0  0      0 14616484  68152 943804    0    0     0    76   88  526  0  0 99  0  0 2024-05-16 19:35:01
 0  0      0 14616484  68152 943808    0    0     0     0   59  444  0  0 100  0  0 2024-05-16 19:35:02
 0  0      0 14616484  68152 943812    0    0     0     0   62  450  0  0 100  0  0 2024-05-16 19:35:03
 0  0      0 14616484  68152 943816    0    0     0     0   54  445  0  0 100  0  0 2024-05-16 19:35:04
 0  0      0 14616780  68152 943820    0    0     0     0   70  459  0  0 100  0  0 2024-05-16 19:35:05
 0  0      0 14616780  68160 943824    0    0     0   280   63  455  0  0 100  0  0 2024-05-16 19:35:06
 0  0      0 14616780  68160 943828    0    0     0     0   52  441  0  0 100  0  0 2024-05-16 19:35:07
 0  0      0 14616528  68160 943832    0    0     0     0   58  454  0  0 100  0  0 2024-05-16 19:35:08
 0  0      0 14616528  68160 943832    0    0     0     0   58  446  0  0 100  0  0 2024-05-16 19:35:09
 0  0      0 14616528  68160 943840    0    0     0     0   62  459  0  0 100  0  0 2024-05-16 19:35:10
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14616528  68168 943844    0    0     0    92   69  468  0  0 100  0  0 2024-05-16 19:35:11
 0  0      0 14616528  68168 943848    0    0     0     0   64  436  0  0 100  0  0 2024-05-16 19:35:12
 0  0      0 14616276  68168 943852    0    0     0     0   56  443  0  0 100  0  0 2024-05-16 19:35:13
 0  0      0 14616528  68168 943860    0    0     0     0   62  424  0  0 99  0  0 2024-05-16 19:35:14
 0  0      0 14616560  68168 943868    0    0     0     0   64  458  0  0 100  0  0 2024-05-16 19:35:15
 0  0      0 14616560  68176 943872    0    0     0    28   66  448  0  0 100  0  0 2024-05-16 19:35:16
 1  0      0 14616560  68176 943876    0    0     0     0   51  422  0  0 100  0  0 2024-05-16 19:35:17
 0  0      0 14616560  68176 943876    0    0     0     0   95  517  0  0 100  0  0 2024-05-16 19:35:18
 0  0      0 14616056  68176 943884    0    0     0     0   60  431  0  0 100  0  0 2024-05-16 19:35:19
 0  0      0 14616056  68176 943888    0    0     0     0   58  451  0  0 100  0  0 2024-05-16 19:35:20
