  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:42:45      0.11      0.05
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:42:46      0.00      0.00
19:42:47      0.00      0.00
19:42:48      0.00      0.00
19:42:49      0.00      0.00
19:42:50      0.04      0.04
19:42:51      0.00      0.00
19:42:52      0.00      0.00
19:42:53      0.00      0.00
19:42:54      0.00      0.00
19:42:55      0.00      0.00
19:42:56      0.00      0.00
19:42:57      0.00      0.00
19:42:58      0.05      0.05
19:42:59      0.00      0.00
19:43:00      0.00      0.00
19:43:01      0.05      0.05
19:43:02      0.08      0.05
19:43:03      0.04      0.04
19:43:04      0.00      0.00
19:43:05      0.00      0.00
19:43:06      0.00      0.00
19:43:07      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:43:08      0.00      0.00
19:43:09      0.00      0.00
19:43:10      0.00      0.00
19:43:11      0.00      0.00
19:43:12      0.00      0.00
19:43:13      0.00      0.00
19:43:14      0.00      0.00
19:43:15      0.05      0.05
19:43:16      0.00      0.00
19:43:17      0.00      0.00
19:43:18      0.00      0.00
19:43:19      0.00      0.00
19:43:20      0.04      0.04
19:43:21      0.00      0.00
19:43:22      0.00      0.00
19:43:23      4.14      0.00
19:43:24      1.38      0.00
19:43:25      1.38      0.00
19:43:26      0.00      0.00
19:43:27      1.38      0.00
19:43:28      0.00      0.00
19:43:29      1.38      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:43:30      0.00      0.00
19:43:31      0.05      0.05
19:43:32      0.05      0.05
19:43:33      0.00      0.00
19:43:34      0.00      0.00
19:43:35      0.00      0.00
19:43:36      0.16      0.09
19:43:37      0.00      0.00
19:43:38      0.00      0.00
19:43:39      0.00      0.00
19:43:40      0.00      0.00
19:43:41      0.04      0.04
19:43:42      0.00      0.00
19:43:43      0.00      0.00
19:43:44      0.00      0.00
19:43:45      0.00      0.00
19:43:46      0.00      0.00
19:43:47      0.00      0.00
19:43:48      0.00      0.00
19:43:49      0.00      0.00
19:43:50      0.00      0.00
19:43:51      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
