procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30986708  91496 958144    0    0     0    24   64  432  0  0 100  0  0 2024-05-16 19:34:30
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30986708  91496 958144    0    0     0     0   68  428  0  0 100  0  0 2024-05-16 19:34:31
 0  0      0 30986456  91496 958144    0    0     0     0   65  417  0  0 100  0  0 2024-05-16 19:34:32
 0  0      0 30986456  91496 958144    0    0     0     0   64  437  0  0 100  0  0 2024-05-16 19:34:33
 0  0      0 30986708  91504 958144    0    0     0    20   65  426  0  0 100  0  0 2024-05-16 19:34:34
 0  0      0 30986708  91504 958144    0    0     0    12   64  415  0  0 100  0  0 2024-05-16 19:34:35
 0  0      0 30986748  91504 958144    0    0     0     0   66  404  0  0 100  0  0 2024-05-16 19:34:36
 0  0      0 30986496  91504 958144    0    0     0     0   68  406  0  0 100  0  0 2024-05-16 19:34:37
 0  0      0 30986496  91504 958144    0    0     0     0   64  405  0  0 100  0  0 2024-05-16 19:34:38
 0  0      0 30986496  91504 958144    0    0     0     0   64  409  0  0 100  0  0 2024-05-16 19:34:39
 0  0      0 30986748  91512 958144    0    0     0    20   68  415  0  0 100  0  0 2024-05-16 19:34:40
 0  0      0 30986748  91512 958144    0    0     0    12   67  433  0  0 100  0  0 2024-05-16 19:34:41
 0  0      0 30986496  91512 958144    0    0     0     0   62  407  0  0 100  0  0 2024-05-16 19:34:42
 0  0      0 30986496  91512 958144    0    0     0     0   65  406  0  0 100  0  0 2024-05-16 19:34:43
 0  0      0 30986496  91512 958144    0    0     0     0   64  424  0  0 100  0  0 2024-05-16 19:34:44
 0  0      0 30986496  91520 958144    0    0     0    20   73  431  0  0 100  0  0 2024-05-16 19:34:45
 0  0      0 30986788  91520 958144    0    0     0    12   72  425  0  0 100  0  0 2024-05-16 19:34:46
